time,condition,2017-07-01_2d_NNxNN_10,2017-07-01_2d_NNxNN_08,2017-07-01_2d_NNxNN_08,2017-07-02_2d_NNxNN_06,2017-07-02_2d_NNxNN_07,2017-07-02_2d_NNxNN_08,2017-07-02_2d_NNxNN_09,2017-07-03_2d_NNxNN_08,2017-07-04_2d_NNxNN_03,2017-07-05_2d_NNxNN_01,2017-07-05_2d_NNxNN_02,
30,dark_30,0.038780968,1.003406005,1.093241307,-0.058662031,0.331568452,0.280483382,0.577717997,0.174170106,0.267685104,-0.177126745,0.15446785,0.335066581
60,dark_60,0.297888299,0.773541903,0.767089147,-0.012943901,0.554371581,0.318773603,0.470148346,0.02630732,0.319229142,-0.260067066,0.27944271,0.321252826
90,dark_90,0.441743853,0.485073603,0.471439634,0.066122627,0.382512241,0.210895233,0.242321484,-0.003704311,0.363388331,-0.268848163,0.295235603,0.244198194
120,dark_120,0.461159187,0.336454126,0.306004592,0.157461332,0.259786443,0.054948223,0.144879467,-0.039200671,0.439400392,-0.225527952,0.323765614,0.201739159
150,dark_150,0.397013197,0.256237152,0.214778721,0.195781704,0.17726335,-0.01430625,0.051520061,-0.023385088,0.373839855,-0.184178742,0.304507707,0.159006515
180,dark_180,0.376051261,0.214161581,0.169295745,0.15045349,0.116812617,-0.047776772,-0.013081017,-0.008341584,0.362084383,-0.126875819,0.289417031,0.134745538
210,dark_210,0.30359869,0.281143807,0.1062174,0.132978767,0.079450184,-0.043287647,-0.026168945,0.034375852,0.285003914,-0.105930378,0.236455018,0.116712424
240,dark_240,0.240760779,0.170362938,0.102623559,0.136463902,0.092268884,-0.03496315,0.005219562,0.042131848,0.217399938,-0.072817906,0.222895982,0.102031485
270,dark_270,0.046357237,-0.144340611,-0.125135212,-0.030209611,-0.044136151,-0.138308716,-0.183651577,0.086611902,0.159079027,0.00379758,-0.005087915,-0.034093095
300,dark_300,0.066695864,-0.111170544,-0.088590422,-0.032500243,-0.042495118,-0.18149728,-0.349133112,0.053486425,0.016716346,0.045963718,0.111204842,-0.046483593
330,sideUV_30,0.029460571,-0.156915479,-0.053692044,-0.062588246,-0.090324589,-0.211589879,-0.271746758,-0.007045567,-0.096994945,-0.041230255,0.160456082,-0.072928283
360,sideUV_60,-0.018085466,-0.172484038,-0.045757296,-0.092794126,-0.058388705,-0.159104623,-0.151733589,-0.049474866,-0.046270072,-0.064891086,0.139215352,-0.065433501
390,sideUV_90,-0.129757089,-0.071055307,-0.071278519,-0.075768598,-0.105747891,-0.149953792,-0.172303411,-0.017475158,-0.051604866,-0.107393508,0.02370978,-0.08442076
420,sideUV_120,-0.068912715,0.037620181,-0.022604311,-0.062291571,-0.069049704,-0.030005558,0.057228633,0.033931741,0.004787673,-0.083996137,0.078464055,-0.011347974
450,dark1_30,-0.059342282,0.04650477,0.043152792,-0.071982362,-0.057757415,0.021261978,0.115001785,0.047490984,0.090556316,-0.060497027,0.07893909,0.01757533
480,dark1_60,-0.040219015,0.011073074,0.035869991,-0.067875733,-0.064126323,0.063370059,0.083515798,0.051849805,0.077186409,-0.041517086,-0.011522165,0.008873165
510,top488_30,0.346812354,0.482303347,0.161990172,0.208183986,0.377305573,0.441641378,0.465560474,0.42750916,0.288902412,0.444426632,0.42674541,0.370125536
540,top488_60,0.346263941,0.420619346,0.373294057,0.200568562,0.333601014,0.377423016,0.455045419,0.43660246,0.277028681,0.46534021,0.396880231,0.37115154
570,top488_90,0.307420672,0.35866301,0.273633091,0.202745965,0.294694602,0.310866744,0.406968203,0.396277768,0.225508636,0.401140804,0.321015854,0.318085032
600,top488_120,0.232429341,0.305041977,0.230341183,0.152004466,0.234318024,0.270896424,0.367505594,0.339118078,0.177403939,0.308715853,0.223224095,0.258272634
630,dark2_30,-0.132340537,-0.109162827,-0.167827947,-0.083952163,-0.192616158,-0.305943221,-0.36742236,0.037247087,-0.00849075,-0.174660777,-0.412449499,-0.174329014
660,dark2_60,-0.188946279,-0.01901204,-0.150843543,-0.080369949,-0.231620669,-0.323225422,-0.392107596,-0.021998821,-0.040124488,-0.155501957,-0.426246026,-0.184545163
690,dark2_90,-0.132842087,0.029650972,-0.102192309,-0.045176114,-0.203468667,-0.14902735,-0.158558405,0.017918733,-0.005169912,-0.085299977,-0.310799636,-0.104087705
720,dark2_120,-0.13316356,-0.008548653,-0.150654848,-0.022932801,-0.135715221,-0.055869137,-0.052022986,0.051165181,0.036947606,-0.041846889,-0.258878992,-0.070138209
750,top395_30,0.248067578,0.214414572,0.251295021,0.167149016,0.240162063,0.312871537,0.298011478,0.311815957,0.14137108,0.212697682,0.258745372,0.241509214
780,top395_60,0.19745968,0.075746248,0.176152197,0.076733001,0.149615575,0.274829512,0.159201202,0.114256349,0.011681387,0.248011431,0.154728922,0.148946864
810,top395_90,0.108002451,-0.058440236,0.087545927,-0.010174205,0.078857409,0.152568347,0.072062123,0.067293952,-0.108365897,0.153290442,0.06017796,0.054801661
840,top395_120,-0.031603807,-0.290650602,0.091193738,-0.08330379,-0.000373813,0.066939092,-0.000919094,0.000136359,-0.073834297,0.050777387,-0.010122228,-0.025614641
870,top395_150,-0.435407199,-0.529422125,-0.318467778,-0.30754467,-0.311008565,-0.391337019,-0.579037292,-0.139946995,-0.170337351,-0.265284795,-0.525009316,-0.361163919
900,top395_180,-0.384392687,-0.360940609,-0.376694926,-0.292394467,-0.307857052,-0.293702081,-0.421806835,-0.076233888,-0.105653802,-0.25943676,-0.41918419,-0.299845209
930,top395_210,-0.334578252,-0.333624102,-0.313537371,-0.243001633,-0.251356401,-0.217329109,-0.19888171,-0.037783111,-0.068799493,-0.1285944,-0.26227463,-0.217250928
960,top395_240,-0.327478128,-0.336659805,-0.248336765,-0.201465053,-0.262464195,-0.160876774,-0.137586749,-0.086934902,-0.103131291,-0.074446312,-0.196211385,-0.194144669
990,top395_270,-0.258485321,-0.232361664,-0.254230551,-0.198608923,-0.19003956,-0.146306923,-0.113431284,-0.080966915,-0.092976757,-0.019180114,-0.16358874,-0.159106978
1020,top395_300,-0.262520618,-0.215193631,-0.163143397,-0.151462101,-0.169948642,-0.085521375,-0.111269347,-0.08395852,-0.092375675,0.029331483,-0.14464663,-0.131882587
