time,condition,2017-06-22_2d_nnxnn_02,2017-06-29_2d_nnxnn_00,2017-06-30_2d_nnxnn_00,2017-06-30_2d_nnxnn_02,2017-07-02_2d_nnxnn_00,2017-07-03_2d_nnxnn_03,2017-07-03_2d_nnxnn_04,2017-07-06_2d_nnxnn_03
30,dark_30,-0.29548229,0.086502619,-0.198239517,0.558399487,-0.321251123,0.139660857,0.225473547,-0.055518741
60,dark_60,-0.116776617,-0.011947351,-0.222139977,0.48076866,-0.231977789,0.059465255,-0.145380427,-0.283038296
90,dark_90,-0.148617187,-0.041598791,-0.284049921,0.329855823,-0.079953197,0.116623706,-0.13029397,-0.341782719
120,dark_120,-0.148392571,-0.020574625,-0.269977642,0.239662042,0.006445848,0.180275002,-0.108043068,-0.295573583
150,dark_150,-0.17986101,0.0164995,-0.231853752,0.185129988,0.146256899,0.197285793,-0.128473377,-0.28220313
180,dark_180,-0.117039571,0.012935203,-0.242281537,0.134247587,0.175399617,0.207401363,-0.08738387,-0.238404325
210,dark_210,-0.093499546,0.006429093,-0.222811439,0.140368163,0.204284264,0.197314909,-0.000582987,-0.180648121
240,dark_240,-0.022284806,-0.036568242,-0.18607551,0.131565207,0.20176636,0.158019482,-0.002687241,-0.151188056
270,sideUV_30,0.003109442,-0.053348495,-0.149265692,0.104166872,0.150613163,0.157313522,-0.010210707,-0.045301195
300,sideUV_60,0.004159651,-0.031076978,-0.12005626,0.075718742,0.099459965,0.156607563,0.079647025,-0.032242045
330,sideUV_90,-0.002609623,-0.063737263,-0.085883104,-0.06155876,0.108019554,0.154435007,0.113145432,-0.016020056
360,sideUV_120,0.017375618,-0.075051638,-0.075978884,-0.12731524,0.064218334,0.085713812,0.08085445,-0.018710185
390,dark1_30,0.007213489,-0.077935979,-0.119572735,-0.179462539,-0.01106625,-0.08062726,0.061269511,0.0036925
420,dark1_60,-0.004216236,-0.071899477,-0.107010481,-0.0885023,0.102766407,-0.12078212,0.040149272,-0.027903129
450,dark1_90,0.01755517,-0.055130605,-0.067192698,-0.058337782,0.138374445,-0.047822442,0.0127415,0.006090439
480,dark1_120,0.040222318,-0.046205539,-0.02421331,-0.052857816,0.113273141,0.056499009,0.015923655,0.021645278
510,top488_30,0.458622053,0.091177546,0.171198351,0.301831569,0.44807048,0.225751581,0.211539887,0.271859786
540,top488_60,0.414811004,0.137142997,0.284875875,0.355513123,0.634013742,0.520861096,0.340410552,0.414030322
570,top488_90,0.388073346,0.130569167,0.29921667,0.349530911,0.521041733,0.437498322,0.367157681,0.348677213
600,top488_120,0.32456016,0.123556085,0.316858884,0.292552006,0.468038981,0.40229397,0.282307686,0.303586677
630,dark2_30,0.034685333,-0.025616209,-0.169689556,0.081752713,-0.058303334,-0.088398294,0.04909174,-0.025690925
660,dark2_60,0.010299169,-0.053751825,-0.258194975,0.080012965,0.013437309,-0.102510643,-0.043217042,-0.149274069
690,dark2_90,-0.01240463,-0.05907261,-0.177712523,0.06288386,0.064882571,-0.046208145,-0.050894136,-0.112384484
720,dark2_120,0.015219198,-0.045215908,-0.10181658,0.04136159,0.071394204,-0.024785552,-0.062075076,-0.092552245
750,top395_30,0.353932476,0.021906163,0.327461005,0.192642111,0.317810451,0.2188328,0.182788612,0.196639931
780,top395_60,0.246059949,0.070462114,0.343316428,0.014690655,0.288695482,0.353941428,0.176491235,0.171902014
810,top395_90,0.146460588,0.049634985,0.338732935,-0.215819753,0.125686522,0.268587524,0.116537043,0.138776737
840,top395_120,0.048967319,0.054252348,0.317126037,-0.42555588,0.058535552,0.117891713,0.076578212,0.071289632
870,dark3_30,-0.308180614,-0.092441871,-0.184841653,-0.553305225,-0.297696665,-0.364639043,-0.145706939,-0.203064722
900,dark3_60,-0.275689743,-0.120768258,-0.282242167,-0.365106337,-0.088949907,-0.403997786,-0.192539556,-0.205067454
930,dark3_90,-0.221070164,-0.100186411,-0.197082241,-0.285074367,0.013508488,-0.325074769,-0.18726544,-0.143751649
960,dark3_120,-0.167269323,-0.102414354,-0.093371457,-0.242023046,0.038397511,-0.244240443,-0.17771948,-0.145087393
990,dark3_150,-0.141570908,-0.097244489,-0.087852059,-0.243231047,0.015753968,-0.163697433,-0.1713325,-0.066437026
1020,dark3_180,-0.111687898,-0.06552469,-0.05157423,-0.255505694,0.002623411,-0.096447446,-0.161150525,-0.039999538
