Genotype,Batch,Condition,Track ID
WT,0701_11,dark,0701_11_ID109
WT,0701_11,dark,0701_11_ID169
WT,0701_11,dark,0701_11_ID186
WT,0701_11,dark,0701_11_ID191
WT,0701_11,dark,0701_11_ID227
WT,0701_11,dark,0701_11_ID249
WT,0701_11,dark,0701_11_ID269
WT,0701_11,dark,0701_11_ID318
WT,0701_11,dark,0701_11_ID342
WT,0701_12,dark,0701_12_ID104
WT,0701_12,dark,0701_12_ID106
WT,0701_12,dark,0701_12_ID130
WT,0701_12,dark,0701_12_ID143
WT,0701_12,dark,0701_12_ID150
WT,0701_12,dark,0701_12_ID159
WT,0701_12,dark,0701_12_ID167
WT,0701_12,dark,0701_12_ID173
WT,0701_12,dark,0701_12_ID58
WT,0701_12,dark,0701_12_ID67
WT,0702_06,dark,0702_06_ID273
WT,0702_06,dark,0702_06_ID323
WT,0702_06,dark,0702_06_ID368
WT,0702_06,dark,0702_06_ID380
WT,0702_07,dark,0702_07_ID166
WT,0702_07,dark,0702_07_ID233
WT,0702_07,dark,0702_07_ID33
WT,0702_07,dark,0702_07_ID39
WT,0702_07,dark,0702_07_ID56
WT,0702_07,dark,0702_07_ID79
WT,0702_07,dark,0702_07_ID99
WT,0702_08,dark,0702_08_ID349
WT,0702_08,dark,0702_08_ID63
WT,0702_09,dark,0702_09_ID270
WT,0703_08,dark,0703_08_ID220
WT,0704_03,dark,0704_03_ID324
WT,0705_01,dark,0705_01_ID12
WT,0705_01,dark,0705_01_ID149
NOS23x23,0623_04,dark,0623_04_ID214
NOS23x23,0623_04,dark,0623_04_ID430
NOS23x23,0623_04,dark,0623_04_ID438
NOS23x23,0627_01,dark,0627_01_ID164
NOS23x23,0627_01,dark,0627_01_ID166
NOS23x23,0627_01,dark,0627_01_ID169
NOS23x23,0627_01,dark,0627_01_ID206
NOS23x23,0627_01,dark,0627_01_ID95
NOS11x11,0622_02,dark,0622_02_ID251
NOS11x11,0622_02,dark,0622_02_ID35
NOS11x11,0629_00,dark,0629_00_ID102
NOS11x11,0629_00,dark,0629_00_ID179
NOS11x11,0629_00,dark,0629_00_ID216
NOS11x11,0629_00,dark,0629_00_ID371
NOS11x11,0630_02,dark,0630_02_ID118
NOS11x11,0630_02,dark,0630_02_ID130
NOS11x11,0630_02,dark,0630_02_ID165
NOS11x11,0703_04,dark,0703_04_ID119
NOS11x11,0703_04,dark,0703_04_ID150
NOS11x11,0703_04,dark,0703_04_ID156
NOS11x11,0703_04,dark,0703_04_ID164
NOS11x11,0703_04,dark,0703_04_ID226
NOS11x11,0703_04,dark,0703_04_ID261
NOS11x11,0703_04,dark,0703_04_ID316
NOS11x11,0703_04,dark,0703_04_ID7
NOS11x11,0703_04,dark,0703_04_ID84
