age,type,id,condition,Hz
2days,WT,1204_w1,before,17.5
2days,WT,1204_w1,UV,19.9
2days,NOSΔ11/Δ11,1204_n1,before,16.5
2days,NOSΔ11/Δ11,1204_n1,UV,17.1
2days,WT,1204_w2,before,9.6
2days,WT,1204_w2,UV,12.4
2days,NOSΔ11/Δ11,1204_n2,before,13.3
2days,NOSΔ11/Δ11,1204_n2,UV,13
3days,WT,1205_w1,before,11.8
3days,WT,1205_w1,UV,13.1
3days,WT,1205_w2,before,9
3days,WT,1205_w2,UV,11.9
3days,WT,1205_w3,before,10
3days,WT,1205_w3,UV,11.7
3days,WT,1205_w4,before,11.8
3days,WT,1205_w4,UV,15.5
3days,WT,1205_w5,before,11.7
3days,WT,1205_w5,UV,13.8
3days,WT,1205_w6,before,11
3days,WT,1205_w6,UV,12
3days,NOSΔ11/Δ11,1205_n1,before,9.5
3days,NOSΔ11/Δ11,1205_n1,UV,9.7
3days,NOSΔ11/Δ11,1205_n2,before,8.1
3days,NOSΔ11/Δ11,1205_n2,UV,8.6
3days,NOSΔ11/Δ11,1205_n3,before,13.8
3days,NOSΔ11/Δ11,1205_n3,UV,13.9
3days,NOSΔ11/Δ11,1205_n4,before,14.9
3days,NOSΔ11/Δ11,1205_n4,UV,13.8
3days,NOSΔ11/Δ11,1205_n6,before,16.1
3days,NOSΔ11/Δ11,1205_n6,UV,14.9
3days,NOSΔ11/Δ11,1205_n7,before,10.6
3days,NOSΔ11/Δ11,1205_n7,UV,9.6
2days,WT,1208_w1,before,7.4
2days,WT,1208_w1,UV,11.9
2days,WT,1208_w2,before,11.6
2days,WT,1208_w2,UV,17.3
2days,WT,1208_w4,before,15.4
2days,WT,1208_w4,UV,14.9
2days,WT,1208_w5,before,13.1
2days,WT,1208_w5,UV,15.5
2days,NOSΔ11/Δ11,1208_w6,before,15.7
2days,NOSΔ11/Δ11,1208_w6,UV,14.9
2days,NOSΔ11/Δ11,1208_n4,before,12.2
2days,NOSΔ11/Δ11,1208_n4,UV,11.3
2days,NOSΔ11/Δ11,1212_n1,before,10.8
2days,NOSΔ11/Δ11,1212_n1,UV,10.1
2days,NOSΔ11/Δ11,1212_n3,before,11
2days,NOSΔ11/Δ11,1212_n3,UV,11.3
2days,NOSΔ23/Δ23,1227_n3,before,8.3
2days,NOSΔ23/Δ23,1227_n3,UV,8
2days,NOSΔ23/Δ23,1227_n5,before,6.5
2days,NOSΔ23/Δ23,1227_n5,UV,6
2days,NOSΔ23/Δ23,1227_n6,before,7.7
2days,NOSΔ23/Δ23,1227_n6,UV,6.3
2days,NOSΔ23/Δ23,1227_n7,before,7.6
2days,NOSΔ23/Δ23,1227_n7,UV,7.2
2days,NOSΔ23/Δ23,1227_n8,before,10.2
2days,NOSΔ23/Δ23,1227_n8,UV,10.5
2days,NOSΔ23/Δ23,1227_n10,before,8
2days,NOSΔ23/Δ23,1227_n10,UV,8.7
3days,NOSΔ23/Δ23,1213_n1,before,10.2
3days,NOSΔ23/Δ23,1213_n1,UV,10
3days,NOSΔ23/Δ23,1213_n2,before,8.7
3days,NOSΔ23/Δ23,1213_n2,UV,8.7
3days,NOSΔ23/Δ23,1213_n3,before,11
3days,NOSΔ23/Δ23,1213_n3,UV,9.1
3days,NOSΔ23/Δ23,1213_n4,before,7.6
3days,NOSΔ23/Δ23,1213_n4,UV,7.9
3days,NOSΔ23/Δ23,1213_n5,before,8.4
3days,NOSΔ23/Δ23,1213_n5,UV,8.3
3days,NOSΔ23/Δ23,1213_n6,before,11.4
3days,NOSΔ23/Δ23,1213_n6,UV,11.6
3days,NOSΔ23/Δ23,1213_n7,before,9.4
3days,NOSΔ23/Δ23,1213_n7,UV,9.8
3days,NOSΔ23/Δ23,1213_n8,before,16.2
3days,NOSΔ23/Δ23,1213_n8,UV,15.4
